CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,5132,EL AL ISRAEL AIRLINES,2025-06-18T10:15:00,2025-06-18T10:15:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
LY,5442,EL AL ISRAEL AIRLINES,2025-06-18T08:00:00,2025-06-18T10:26:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
DIR,2032,FLYYO,2025-06-18T10:30:00,2025-06-18T10:30:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,752,BLUE BIRD AIRWAYS,2025-06-18T10:40:00,2025-06-18T10:40:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
6H,582,ISRAIR AIRLINES,2025-06-18T10:50:00,2025-06-18T10:50:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
EY,593,ETIHAD AIRWAYS,2025-06-18T11:00:00,2025-06-18T11:00:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
IZ,1162,ARKIA  ISRAELI  AIRLINES,2025-06-18T11:00:00,2025-06-18T11:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
LY,9600,EL AL ISRAEL AIRLINES,2025-06-18T11:00:00,2025-06-18T11:00:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
UA,085,UNITED AIRLINES,2025-06-18T11:00:00,2025-06-18T11:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,CANCELED,מבוטלת
WZ,012,RED WINGS AIRLINES,2025-06-18T11:00:00,2025-06-18T11:00:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
6H,335,ISRAIR AIRLINES,2025-06-18T11:00:00,2025-06-18T11:00:00,D,CTA,CATANIA  FONTANAROSSA,קטאניה,CATANIA,איטליה,ITALY,1,,,CANCELED,מבוטלת
6H,946,ISRAIR AIRLINES,2025-06-18T09:00:00,2025-06-18T11:11:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
6H,175,ISRAIR AIRLINES,2025-06-18T11:20:00,2025-06-18T11:20:00,D,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,CANCELED,מבוטלת
6H,044,ISRAIR AIRLINES,2025-06-18T11:35:00,2025-06-18T11:35:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,094,ARKIA  ISRAELI  AIRLINES,2025-06-18T11:40:00,2025-06-18T11:40:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,444,EL AL ISRAEL AIRLINES,2025-06-18T10:00:00,2025-06-18T11:54:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
J2,021,AZERBAIJAN AIRLINES,2025-06-18T11:55:00,2025-06-18T11:55:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
LY,9950,EL AL ISRAEL AIRLINES,2025-06-18T11:55:00,2025-06-18T11:55:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
6H,995,ISRAIR AIRLINES,2025-06-18T09:20:00,2025-06-18T12:04:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,DEPARTED,המריאה
IZ,074,ARKIA  ISRAELI  AIRLINES,2025-06-18T12:15:00,2025-06-18T12:15:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,416,ARKIA  ISRAELI  AIRLINES,2025-06-18T12:15:00,2025-06-18T12:15:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,CANCELED,מבוטלת
IZ,741,ARKIA  ISRAELI  AIRLINES,2025-06-18T12:15:00,2025-06-18T12:15:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
A4,5025,AZIMUTH AIRLINES,2025-06-18T12:20:00,2025-06-18T12:20:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
H4,235,HISKY EUROPE SRL,2025-06-18T12:25:00,2025-06-18T12:25:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,CANCELED,מבוטלת
BZ,691,BLUE BIRD AIRWAYS,2025-06-18T12:30:00,2025-06-18T12:30:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
DIR,2033,FLYYO,2025-06-18T12:30:00,2025-06-18T12:30:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,CANCELED,מבוטלת
IZ,142,ARKIA  ISRAELI  AIRLINES,2025-06-18T11:00:00,2025-06-18T12:33:00,A,AOK,KARPATHOS,קרפתוס,KARPATHOS,יוון,GREECE,3,,,LANDED,נחתה
6H,115,ISRAIR AIRLINES,2025-06-18T12:35:00,2025-06-18T12:35:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,1,,,CANCELED,מבוטלת
6H,882,ISRAIR AIRLINES,2025-06-18T12:40:00,2025-06-18T12:40:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
IZ,296,ARKIA  ISRAELI  AIRLINES,2025-06-18T12:45:00,2025-06-18T12:45:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,CANCELED,מבוטלת
6H,576,ISRAIR AIRLINES,2025-06-18T12:45:00,2025-06-18T12:45:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,212,ARKIA  ISRAELI  AIRLINES,2025-06-18T12:55:00,2025-06-18T12:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,703,BLUE BIRD AIRWAYS,2025-06-18T13:00:00,2025-06-18T13:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,5437,EL AL ISRAEL AIRLINES,2025-06-18T10:30:00,2025-06-18T13:05:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,DEPARTED,המריאה
6H,911,ISRAIR AIRLINES,2025-06-18T13:05:00,2025-06-18T13:05:00,D,ZNZ,ZANZIBAR,זנזיבר,ZANZIBAR,טנזניה,TANZANIA,3,,,CANCELED,מבוטלת
J2,022,AZERBAIJAN AIRLINES,2025-06-18T13:10:00,2025-06-18T13:10:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
LY,9951,EL AL ISRAEL AIRLINES,2025-06-18T13:10:00,2025-06-18T13:10:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
TO,3450,TRANSAVIA FRANCE,2025-06-18T13:10:00,2025-06-18T13:10:00,A,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
IZ,101,ARKIA  ISRAELI  AIRLINES,2025-06-18T11:30:00,2025-06-18T13:15:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,DEPARTED,המריאה
NO,9053,NEOS,2025-06-18T13:15:00,2025-06-18T13:15:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,CANCELED,מבוטלת
BZ,702,BLUE BIRD AIRWAYS,2025-06-18T13:25:00,2025-06-18T13:25:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,484,EL AL ISRAEL AIRLINES,2025-06-18T12:00:00,2025-06-18T13:25:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
H4,236,HISKY EUROPE SRL,2025-06-18T13:30:00,2025-06-18T13:30:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,CANCELED,מבוטלת
6H,590,ISRAIR AIRLINES,2025-06-18T13:35:00,2025-06-18T13:35:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
A4,5026,AZIMUTH AIRLINES,2025-06-18T13:40:00,2025-06-18T13:40:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
J2,4021,AZERBAIJAN AIRLINES,2025-06-18T13:40:00,2025-06-18T13:40:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
